Date,Afghanistan,Albania,Algeria
2010-11-30,279.8456894394394,285.0023118622449,211.01705375401696
2010-12-31,274.3084647147147,278.7298708545918,208.527132632194
2011-01-31,272.5035973473473,276.9615553252551,207.3671486999708
2011-02-28,273.2633258258258,278.4595025510204,207.5108274905054
2011-03-31,279.2426176176176,281.05161830357144,211.96282500730356
2011-04-30,286.6862487487488,285.2618183992347,214.99631171487
2011-05-31,294.2339214214214,288.788404815051,217.63515191352616
2011-06-30,297.8455955955956,293.2925502232143,220.33406368682444
2011-07-31,298.44607107107106,295.28328284438777,222.44690330119775
2011-08-31,298.51642267267266,296.48736447704084,221.6561130587204
2011-09-30,293.21962587587586,294.580078125,220.09993061641836
2011-10-31,286.64495745745745,285.9535833864796,214.2964504820333
2011-11-30,279.8030217717718,280.84871253188777,210.76197779725388
2011-12-31,271.8538538538539,278.6101721938776,206.54761904761904
2012-01-31,270.06462712712715,274.6932995854592,205.36926672509492
2012-02-29,270.0118243243243,275.3548509247449,205.8725898334794
2012-03-31,277.94876126126127,282.0154257015306,210.2911554192229
2012-04-30,286.22253503503504,284.895188934949,214.53323108384456
2012-05-31,291.2360485485485,288.8113241390306,218.43085378323107
2012-06-30,295.2075825825826,295.11300223214283,222.01121092608824
2012-07-31,298.5464214214214,298.0019730548469,222.51462532865904
2012-08-31,297.46646646646644,297.19722576530614,221.8032245106632
2012-09-30,291.82025775775776,293.3427734375,219.46355536079463
2012-10-31,285.69657157157155,288.9298867984694,216.16146289804263
2012-11-30,279.2855355355356,284.636399872449,211.7385882267017
2012-12-31,272.37809684684686,277.2648477359694,207.0928279287175
2013-01-31,271.317505005005,278.03585379464283,206.19947779725388
2013-02-28,274.7812187187187,278.9656608737245,207.2761101373065
2013-03-31,280.82282282282284,281.7160794005102,212.6979988314344
2013-04-30,285.1933808808809,286.52455357142856,214.976884312007
2013-05-31,291.6956956956957,289.96137595663265,218.01561130587203
2013-06-30,297.4677802802803,292.8084143813776,220.7260809231668
2013-07-31,298.90121371371373,295.6240234375,222.2518624014023
2013-08-31,297.1910035035035,296.6749242665816,221.16089687408703
2013-09-30,294.0848973973974,291.47154017857144,219.28020011685652
2013-10-31,287.34947447447445,287.8619260204082,216.5900891031259
2013-11-30,278.88648023023023,283.9225924744898,210.0808318726264
2013-12-31,272.81340715715714,277.9604193239796,206.4662211510371
2014-01-31,272.6021021021021,280.0602479272959,207.30875693835816
2014-02-28,270.30665040040043,281.3234614158163,208.55751533742333
2014-03-31,278.7182807807808,282.4129065688776,210.48889862693545
2014-04-30,285.6954767267267,284.5927535076531,215.28396143733568
2014-05-31,291.1206206206206,288.1019610969388,218.40079973707276
2014-06-30,296.6778966466467,292.84311224489795,220.7461473853345
2014-07-31,298.57075825825825,294.3793048469388,222.7573035349109
2014-08-31,297.0064126626627,295.49428013392856,222.45181492842536
2014-09-30,294.1156468968969,290.8975805165816,220.6034910896874
2014-10-31,286.70007507507506,287.4204001913265,215.56713774466843
2014-11-30,278.2447447447448,284.2482063137755,211.40834063686825
2014-12-31,274.1193380880881,279.4417849170918,206.4124671340929
2015-01-31,273.7787787787788,277.109375,205.6408121530821
2015-02-28,276.4256756756757,277.7800143494898,207.71844872918493
2015-03-31,278.78547297297297,280.9703045280612,210.07986415425063
2015-04-30,286.908033033033,284.32613201530614,215.40594872918493
2015-05-31,292.3918918918919,290.36710778061223,218.84403301197776
2015-06-30,296.8171921921922,293.1289261798469,220.91538854805725
2015-07-31,299.1531844344344,297.939772002551,221.99572743207716
2015-08-31,296.9389389389389,296.8728675063776,222.18755477651183
2015-09-30,291.4715965965966,293.6194196428572,219.77273225241015
2015-10-31,287.5517705205205,287.9532844387755,216.34069164475605
2015-11-30,278.3788788788789,283.9202008928572,210.6996969033012
2015-12-31,273.4506381381381,278.4830197704082,207.01716330704065
2016-01-31,274.1198698698699,277.69302056760205,207.87430616418345
2016-02-29,275.72553803803805,282.5646125637755,209.4053096698802
2016-03-31,281.6216841841842,281.85776068239795,210.62120216184636
2016-04-30,286.1336336336336,287.3246173469388,216.69803534910895
2016-05-31,293.8113425925926,288.3132174744898,218.97558793456037
2016-06-30,297.21061686686687,293.8622847576531,221.7559523809524
2016-07-31,299.056712962963,296.2866310586735,222.32522640958223
2016-08-31,296.46177427427426,295.5392617984694,221.45849766286884
2016-09-30,294.6811186186186,291.5,219.8651767455449
2016-10-31,286.5203953953954,287.419921875,216.56149576394972
2016-11-30,278.9288663663664,282.5122369260204,211.024101665206
2016-12-31,277.33502252252254,276.59859295280614,207.8794368974584
2017-01-31,272.5765765765766,273.9187659438776,204.9486561495764
2017-02-28,273.8880755755756,280.5998684630102,209.7895486415425
2017-03-31,280.01382632632635,283.5001594387755,211.96169295939237
2017-04-30,287.1383258258258,284.77152423469386,214.942703768624
2017-05-31,294.2439314314314,289.2713249362245,219.8501497224657
2017-06-30,298.17270395395394,294.9613958864796,221.0075591586328
2017-07-31,299.4390015015015,297.14712213010205,222.4672801635992
2017-08-31,297.1488363363364,297.58960459183675,222.13232179374816
2017-09-30,293.154466966967,291.1747847576531,219.5457931638913
2017-10-31,287.9033408408408,286.5908003826531,214.64389789658196
2017-11-30,280.58677427427426,282.30873325892856,209.86948583114227
2017-12-31,274.46246246246244,278.6474609375,206.52161846333627
2018-01-31,274.0389139139139,278.5995097257653,207.33074057844
2018-02-28,276.61417667667666,278.6935786033163,207.93465162138477
2018-03-31,283.8198823823824,281.9583067602041,212.072706690038
2018-04-30,287.29961211211213,288.5116191007653,215.37248028045573
2018-05-31,291.10219594594594,291.1597177933673,218.10484224364592
2018-06-30,297.3686186186186,293.33203125,221.3355243938066
2018-07-31,300.0240865865866,295.5907007334184,223.64961291264973
2018-08-31,297.8203828828829,296.3366151147959,221.1565877884896
2018-09-30,292.6979166666667,292.7221380739796,219.6184998539293
2018-10-31,285.2125875875876,289.1291653380102,215.2990797546012
2018-11-30,279.59878628628627,284.0528340242347,211.17831580484955
2018-12-31,275.42955455455456,278.0746970663265,207.3133399065148
2019-01-31,273.59797297297297,275.0815330038265,205.5473086473853
2019-02-28,273.1031969469469,279.0493263711735,206.97378030966988
2019-03-31,278.8313938938939,283.228834502551,211.1184998539293
2019-04-30,286.84162287287285,285.4441167091837,214.39906514753145
2019-05-31,291.5056931931932,287.0601482780612,217.90775635407536
2019-06-30,295.48216966966964,294.9662388392857,221.83829973707276
2019-07-31,300.33821321321324,295.84115911989795,222.9946866783523
2019-08-31,297.6812437437437,297.30974968112247,222.369796231376
2019-09-30,294.6144894894895,292.9702248086735,220.0973196026877
2019-10-31,287.3216341341341,289.0411352040816,215.7130806310254
2019-11-30,277.5604667167167,285.5376674107143,210.3501132047911
2019-12-31,275.05843343343344,280.27232142857144,208.3219215600351
2020-01-31,270.4974349349349,277.42386798469386,206.50445515629565
2020-02-29,275.91819944944945,279.9341318558673,209.66485904177625
2020-03-31,279.96896896896897,282.0206074617347,211.8731375985977
2020-04-30,285.69844844844846,284.7911750637755,215.80930470347647
2020-05-31,291.91854354354354,289.5299744897959,219.07312664329532
2020-06-30,297.1381694194194,292.0450813137755,221.6016469471224
2020-07-31,298.97122122122124,296.0193120216837,222.36806164183463
2020-08-31,298.1104229229229,296.5390027104592,222.30930470347647
2020-09-30,291.8887324824825,293.8001036352041,219.85966257668716
2020-10-31,284.6188063063063,287.48828125,215.87028921998248
